word,wordURL,meaning_1,sentence_1,meaning_2,sentence_2,meaning_3,sentence_3,way_to_remember,way_to_remember2,difficulty
smattering,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/smattering#back,",noun: a slight or superficial understanding of a subject; a small amount of something,"I know only a smattering of German, but Helen is able to read German newspapers and converse with natives.",None,None,None,None,"He does not know the actual matter. His knowledge is quite smattering.
smattering=small matter talk.",SMATTER has only SOME MATTER.. thus has only superficial knowledge.. :),BASIC
hamstrung,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/hamstrung#back,",verb: made ineffective or powerless,"The FBI has made so many restrictions on the local police that they are absolutely hamstrung, unable to accomplish anything.",None,None,None,None,None,None,BASIC
illicit,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/illicit#back,",adjective: contrary to or forbidden by law,"Though Al Capone was engaged in many illicit activities, he was finally arrested for income tax evasion, a relatively minor offense.",None,None,None,None,"ill+cit(y) = If you want to do any ill to a city, thats ILLEGAL","illicit- Black list.
organizations indulging in Illicit trades are Black listed by government.",BASIC
uncompromising,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/uncompromising#back,",adjective: not making concessions,"The relationship between Bart and Hilda ultimately failed because they were both so uncompromising, never wanting to change their opinions.",None,None,None,None,None,None,BASIC
assail,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/assail#back,",verb: attack in speech or writing,"In the weekly paper, the editor assailed the governor for wasting hundreds of thousands of dollars in public projects that quickly failed.",None,None,None,None,take 'sail' from 'assail'- for begining an war many warships are sailed to the warfront,assailant is common word in newspaper for mumbai attackers,BASIC
assuage,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/assuage#back,",verb: make something intense less severe,Her fear that the new college would be filled with unknown faces was assuaged when she recognized her childhood friend standing in line.,None,None,None,None,ass-usage in the toilet gives huge relief,ass means donkey...  donkey's usage give huge relief from carrying loads,BASIC
whimsical,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/whimsical#back,",adjective: determined by impulse or whim rather than by necessity or reason,"Adults look to kids and envy their whimsical nature at times, wishing that they could act without reason and play without limitation.",None,None,None,None,"Whimsical sounds like comical...whimsical is , impulsive, playful...comical is amusing and funny.","whim sounds like vim bar for washing dishes , vim used for changing dirty dishes to new .so",BASIC
debase,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/debase#back,",verb: reduce the quality or value of something,The third-rate script so debased the film that not even the flawless acting could save it from being a flop.,None,None,None,None,"de(means without)+base..so think of someone /something without having any base or value.

the boss has called for a wild party.(highly unlikely...would have to be an awsome boss)....",imagine a building having no base will be lower in quality,BASIC
empathetic,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/empathetic#back,",adjective: showing understanding and ready comprehension of other peoples' states and emotions,Most discrimination and hatred is based on a lack of empathetic awareness of people that have the same aspirations and fears.,None,None,None,None,None,None,BASIC
unruly,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/unruly#back,",adjective: (of persons) noisy and lacking in restraint or discipline; unwilling to submit to authority,Walk in to any preschool and I am sure that you will find an unruly and chaotic scene—unless it's nap time.,None,None,None,None,UN(no)RULY(rules).....someone who follow NO RULES....,UN + RULY can be taken as something or someone who does not follow any norms (rules).,BASIC
grovel,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-4/grovel#back,",verb: show submission or fear,"Every time Susan comes to the office, Frank grovels as if she were about to fire him.",None,None,None,None,"One who wants to ""grow well"" needs to grovel before his manager.",grovel ..sounds like growl......and when a dog growls...most of the kids shrink in fear......,BASIC
